For	Stator
t/o	TEEC
0.022870488	0.001929303
0.033138866	0.002411584
0.043407245	0.003858525
0.052275378	0.005305466
0.061610271	0.006993572
0.071878649	0.008681678
0.082613723	0.010852097
0.093348892	0.013263666
0.10361727	0.01567525
0.112485404	0.017845686
0.121353569	0.01929261
0.131155189	0.022909971
0.14095684	0.026045018
0.151691946	0.029903543
0.164294055	0.033762052
0.174562433	0.03665595
0.187164511	0.040755624
0.196032676	0.045337628
0.206301055	0.048954988
0.215169188	0.053054663
0.225437567	0.056913188
0.232905487	0.060771721
0.241773652	0.064389074
0.250641785	0.06752412
0.257176219	0.071382646
0.265110836	0.074517692
0.271178542	0.078135053
0.280513403	0.082717041
0.289848327	0.086575566
0.298716461	0.090192926
0.306651077	0.094292608
0.313652301	0.097668812
0.322987162	0.101286172
0.330921841	0.105868168
0.339323247	0.110450164
0.347257863	0.114308681
0.357059514	0.119131834
0.365927648	0.122990351
0.374329054	0.12733119
0.382263733	0.13143086
0.388798104	0.134807076
0.395799328	0.138183279
0.400933517	0.140836012
	
FOR	Rotor
t/o	TEEC
0.02940489	0.000482314
0.037339569	0.000964643
0.044340731	0.001205792
0.052742137	0.002411584
0.063944001	0.003617377
0.075145866	0.005064318
0.085414244	0.005305466
0.095682623	0.006511258
0.110618432	0.009163992
0.124154027	0.010610933
0.134889133	0.012299038
0.144223994	0.013987144
0.154492341	0.016398712
0.166161027	0.018569132
0.181096805	0.020739551
0.193232218	0.024115763
0.207234541	0.026527331
0.219369891	0.028697751
0.228704784	0.030627021
0.238506435	0.033279755
0.247841296	0.035450158
0.255309247	0.037138264
0.26651108	0.039308683
0.275845941	0.041720251
0.284714138	0.043649522
0.293582271	0.04606109
0.30385065	0.048472675
0.31505242	0.051607722
0.322987162	0.053778141
0.332322023	0.055948561
0.340256702	0.058601294
0.349591625	0.060771721
0.356592787	0.062942125
0.36546092	0.06463023
0.373395536	0.067041807
0.38179688	0.069453383
0.389731622	0.071382646
0.399066483	0.074276528
0.401866972	0.075241155
